legid,class,userid,tripid,start_lat,start_lon,constart,end_lat,end_lon,start_name,start_country,Definition,Start_Place,end_name,end_country,Definition2,motid,leg_distance,worthwhileness_rating,transport_category,campaign,weekday,weekday_class,activity
#24:20587,Leg,Zj62iyVNq2PEAWH6kVatEsZu5tv1,#33:8682,50.87,4.388,50.874.388,50.867,4.384,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,736,5,walking,BEL,Friday,Working_day,Walking
#25:20250,Leg,IYFqKamhclckUqabBsHOiCNPbcd2,#31:8623,50.842,4.391,50.8424.391,50.847,4.391,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,736,5,walking,BEL,Thursday,Working_day,Walking
#22:22122,Leg,4ZfTYSt0erSVLAeGC28PY1Z8bbS2,#33:9340,50.826,4.396,50.8264.396,50.822,4.391,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,741,3,walking,BEL,Thursday,Working_day,Walking
#22:20076,Leg,YD1NWKS6MmgyvWhJhtKZvYIVc2l2,#32:8425,50.846,4.38,50.8464.38,50.847,4.373,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,753,5,walking,BEL,Wednesday,Working_day,Walking
#22:7607,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#30:3157,50.847,4.39,50.8474.39,50.845,4.385,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,759,5,walking,BEL,Friday,Working_day,Walking
#23:18761,Leg,ScbvqnrCywYbFcB3s6bMJNBf1v33,#31:7911,50.845,4.385,50.8454.385,50.847,4.381,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,761,3,walking,BEL,Friday,Working_day,Walking
#24:3740,Leg,kgF4dsYgK6RN1Qp0kzJVyWnDaUe2,#30:1609,50.845,4.385,50.8454.385,50.847,4.391,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,771,5,walking,BEL,Friday,Working_day,Walking
#25:36217,Leg,onEy0MLMEebOR5LZlj9TkjUGASJ3,#33:15514,50.842,4.359,50.8424.359,50.841,4.359,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,774,4,walking,BEL,Wednesday,Working_day,Walking
#25:21201,Leg,0CHk74uT2pRt5VKXM9qFVS3BLPu2,#30:9083,50.856,4.359,50.8564.359,50.861,4.362,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,777,4,walking,BEL,Monday,Working_day,Walking
#24:15904,Leg,vlBTTWAlYqTwugoby3qyjC9DUI33,#31:6685,50.845,4.385,50.8454.385,50.846,4.384,Brussels,BEL,Belgium,"Brussels, Belgium",Brussels,BEL,Belgium,7,780,5,walking,BEL,Wednesday,Working_day,Walking
